原文,訳文
Salanop,サラノップ
Salabar Street,サラバー大通り
Thalaman,サラマン
Salamanth,サラマンス
Salamander,サラマンダー
Saral,サラル
Xarann A'Daragon,ザラン・エイダラゴン
Thalann Gol,サラン・ゴル
Thalann Zar,サラン・ザール
Zarantyr,ザランティル
Thalamra Vanthampur,サランラ・ヴァンサンパー
Thuria,サリア
Salida,サリーダ
Tharivol,サリヴォル
Sariel,サリエル
Zariel,ザリエル
Zariel's Fall,ザリエルの堕天
Thaliost,サリオスト
Sarifal,サリファル
Sulyma,サリマ
Zarimtar Street,ザリムター大通り
Thalingard,サリンガルド
Sul,サル
Thal Eledar,サル・エレダール
Thal Othoril,サル・オソリル
Thal Taluna,サル・タルナ
Sulvarn,サルヴァーン
thalver,サルヴェア
Zaroud al'Ryshal,ザルード・アル・リシャール
Zaroum Al-Saryak,ザルーム・アル・サルヤーク
Sarula Iliene,サルーラ・イリエン
Zulkir,ザルカー
Sargas,サルガス
Thalkara,サルカラ
zulkoon,ザルクーン
Sargonnas,サルゴナス
Zargon,ザルゴン
Zalthar,ザルサー
Zalshox,ザルショックス
Zarrthec,ザルセク
Xarta Muzgardt,ザルタ・マズガルド
Zalder Faelrond,ザルダー・フェイルロンド
Suldown Street,サルダウン大通り
Zartar,ザルタル
Thultanthar,サルタンサー
Suldivver,サルディヴァー
Zaltec,ザルテク
Eye of Zaltec,ザルテクの瞳
Zaldo,ザルド
Sulm,サルム（王国）
Sulmor Street,サルムアー大通り
Tharmekhul（＠uの上に^）,サルメクール
Sul Street,サル大通り
Sarade,サレイド
Zalebyeh,ザレビヤ
Sarel Bankdown,サレル・バンクダウン
Sum,サン
sun,サン
Sun Elf,サン・エルフ
Sun Pillars,サン・ピラーズ
Sun Blade,太陽剣
Sanctuary,聖域
Coral Black,サンゴ黒
Sunscale Clanhold,サンスケール・クランホールド
Thunder Step,雷鳴の一跳び
Thunderwave,雷鳴波
Thunderwall,サンダーウォール
Thunderclap,大雷鳴
Thunderstaff Way,サンダースタッフ道
Thundertree,サンダーツリー
Thunderforge,サンダーフォージ
Thundermaster,サンダーマスター
Thunder Sea,サンダー海
Sundown,サンダウン
Zantashk,ザンタシュク
Sundabar,サンダバー
Sundarren,サンダバーの（市民）
Ruling Master of Sundabar,サンダバーの“政の司”
Thunderous Smite,雷鳴の一撃
Sundering Peaks,サンダリング連峰
Sunndi,サンディ
Zandilar,ザンディラー
Xandeval,ザンデヴァル
Sundeth,サンデス
Zundbridge,ザンドブリッジ
Xandrar,ザンドラー
Sandorim Street,サンドリム大通り
Sandrue,サンドルー
sambar,サンバー
Sunburst,陽光爆発
Sunbeam,陽光
Sambril Lane,サンブリル通り
thammarch,サンマルヒ
Sunmeadow,サンメドウ（陽草家）
Sunrise,サンライズ
sunrise elf,サンライズ・エルフ
Sanrach Mountains,サンラッチ山脈
The Angry,ジ・アングリー
Thea,シア
Thia,シア
Jia,ジア
Xia Shung,シア・シュン
Siasobek,シアソベク
Saerdoun Street,シアドウン大通り
Thiala,シアラ
Cyric,シアリック
Searing Smite,灼熱の一撃
Cyrrollalee,シアロラリー
Jian,ジアン
Jiang,ジアン
Siannodel （Moonbrook）,シアンノデル（月の小川）
Zianhur,ジアンフル
Zae,ジー
See Invisibility,不可視視認
Sea Elf,シー・エルフ
Sea Elf Training,シー・エルフの武器訓練
Sea Spawn,シー・スポーン
sea devil,シー・デヴィル
Sea Hag,シー・ハグ
Sea Barons,シー・バロンズ（海洋男爵領連合）
Sea Prince,シー・プリンス（海洋公）
Sea Horse,シー・ホース
Sea Lion,シー・ライオン
Sea Lion Street,シー・ライオン大通り
Seaeye's March,シーアイ通り
Seawind Alley,シーウィンド通り
Sihvet,シーヴェット
Seawall Mountains,シーウォール山脈
Seawatch Street,シーウォッチ大通り
Seaside,シーサイド
Lludd,シーズ
Zedaar,ジーダー
Seatower,シータワー（地区）
Seadeeps,シーディープス(深淵の海)
Seadragon Principality,シードラゴン公国
Thief,シーフ
Seebo,シーボ
Seeming,見せかけの姿
Zilla Atazi,ジーラ・アタツィ
Sheela Peryroyl,シーラ・ペアリロイル
Seelie Court,シーリー・コート
seelie fey,シーリー・フェイ
shield,シールド
Shield,シールド（盾）
Shield,盾
Shield of expression,表情変化の盾
Shield of the Hidden Lord,王ひそむ盾
Shield of the Uven Rune,“ウウェン”のルーンの盾
Shield of Far Sight,遠目の盾
Shield of Faith,信仰の盾
Shield of Missile Attraction,矢招きの盾
Shield Guardian,シールド・ガーディアン
Shield Dwarf,シールド・ドワーフ
Shieldbiter,シールドバイター（盾噛み）
Knights of the Shield,シールド騎士団
Seero,シーロ
Sif,シヴ
Shivairn,シヴァーン
House Sivis,シヴィス氏族
Shae Lias,シェ・リアス
Shared Campaigns,シェアード・キャンペーン
Javen Tarmikos,ジェイヴン・ターミコス
Jason Rainville,ジェイソン・レインヴィル
Shade,シェイド
jade,ジェイド
Shaping Hammer,形作る鎚
Shape Water,水整形
Shapechange,変幻自在
Jaemus Exheltarion,ジェイマス・エクセルタリオン
Jaela Daran,ジェイラ・ダラン
High King Shaeras Vadallia,シェイラス・ヴァダリア大王
Shevarra,シェヴァラ
Shevarash,シェヴァラッシュ
Chevall,シェヴァル
Jevan Kron'tayne,ジェヴァン・クロンタイン
Gewar,ジェウォー
James Lowder,ジェームス・ロウダー
James Wyatt,ジェームズ・ワイアット
Shemov,シェーモフ
Shaengarne River,シェーンガーン川
Shekkal Korranor,シェカル・コラノール
Sheggen,シェゲン
Jessamine,ジェサミーン
Jezean,ジェジアン
Jhesiyra Kestellharp,ジェシーラ・ケステルハープ
Queen Sheska,シェスカ女王
Shestendeliath,シェステンデリアス
Shesstra's Street,シェストラ大通り
Jezrynne Hornraven,ジェズリン・ホーンレイヴン
Jezebeth,ジェゼベス
Jezebel,ジェゼベル
Shedaklah,シェダクラー
Jhessa Brightstar,ジェッサ・ブライトスター
Jhessail,ジェッセイル
Jhessail Silvertree,ジェッセイル・シルヴァーツリー
jet,ジェット
Scheppen,シェッペン
Shedinn,シェディン
Jedren Hiller,ジェドレン・ヒラー
Shedroor,シェドローア
Genamine Kopali,ジェナミン・コパリ
Gennifer,ジェニファー
Geoff,ジェフ
Jeff R. Leason,ジェフ・R・リーズン
the Duchy of Geoff,ジェフ公国
Jebeddo,ジェベドー
Gem of Seeing,超視覚の宝石
Gem of Brightness,輝きの宝石
Jerath,ジェラス
Shaelas Tiraleth,シェラス・ティラレス
Djerad Kethendi,ジェラッド・ケセンディ
Jaelarthal Orioth (The Moonsword Jungle),ジェラルサル・オリオス（月刀のジャングル）
Jheri,ジェリ
Jerynomonis,ジェリノミニス
Marsh of Chelimber,シェリンバー沼
Gell,ジェル
Chervina,シェルヴィナ
Jheluum,ジェルーム
Jelzar's Stride,ジェルザー通り
Jeremy Crawford,ジェレミィ・クローフォード
Jelenneth,ジェレンネス
Jenks,ジェンクス
Jentha Allinamuch,ジェンサ・オーリンナマッチ
Gentle Repose,安らかな眠り
Jen'lig,ジェンリグ
Shen-state,シェン状態
Tricks,しかけ
Trick Objects,しかけのついた物体
Trick Effect,しかけの効果
attach,しがみつく
Sikhil,シキル
Sigil,シギル
Sigilstar,シギルスター
"Griballix, gnome of Sigil",シギルのノーム、？？？
Siku,シク
Sequester,異次元隔離
Sigbeorn Dunebar,シグビョルン・ドゥネバル
Syglaeth Audark,シグラエス・アウダルク
Zykroff,ジクロフ
Sisava,シサーヴァ
Sithi Vinecutter,シシー・ヴァインカッター
Sithis,シシス
Sister Alonsa,シスター・アロンサ
Sister Garaele,シスター・ガラエル
Sister Cyas,シスター・サイアス
Xistsrith,ジストスリス
Gist,ジスト家
Thistle,シスル
Thistletop,シスルトップ（あざみヶ丘家）
solid,しっかりした実体のある
Sik,シック
SIX STONES,シックス・ストーンズ
Sickening Radiance,消耗の光
Sickle,シックル
Sissa,シッサ
Ship's Towers,シップス・タワーズ
Instigating,しでかし
Sidra Romeir,シドラ・ロミーア
Sitlali,シトラーリ
citrine,シトリン
Shinare,シナーレ
Withers,シナビ
Withers and Tomb Dwarves,シナビとトゥーム・ドワーフたち
Synaptic Static,脳神経抑圧
Graceful,しなやか
Suave Defense,しなやかな守り
Senior Gray Hand,シニア・グレイ・ハンド
Jinny,ジニー
Jibber-Jabber,ジバー・ジャバー
Mount Sibasa,シバサ山
Gibbering Mouther,ジバリング・マウザー
Sybilee,シビリー
Giff,ジフ
Sypheros,シフェロス
Jibbs,ジブズ
shifter,シフター
Shifting,シフティング
Shifting Feature,シフティング中の特徴
Shiftweave,形を変える衣
Relentless,しぶとさ
Sibriex,シブリエクス
Sibling Kings,シブリング・キングズ
Siffress,シフレス
Xipe,シペ
Siberys,シベイ
Siberys dragonshard,シベイ・ドラゴンシャード
Ring of Siberys,シベイの環
tongue of Siberys,シベイの言葉
Test of Siberys,シベイの試練
Symma,シマ
Shimmergloom,シマーグルーム（“ゆらめく薄闇”ほどの意）
Jhimas,ジマス
Scimitar,シミター
Scimitar of Speed,敏速の曲刀
The Scimitar Spires,シミター・スパイアズ
Simulacrux,シミュライクラクス
Simulacrum,似姿
Sim,シム
Thimnoll,シムノル
Simril,シムリル
Shar,シャー
Shae Cairdal,シャー・ケアダル
Shae Joridal,シャー・ジョリダル
Shae Thoridor,シャー・ソリドール
Shae Deseir,シャー・デシール
Shae Mordai,シャー・モルダイ
Shae Mordai (City of the Dead),シャー・モルダイ（死者の都）
Shae Loralyndar,シャー・ロラリンダー
Ja'adoc,ジャーアドック
Sharwyn,シャーウィン
Shargaas,シャーガス
Veil of Shargaas,シャーガスのとばり
Hand of Shargaas,シャーガスの手
Red Fang of Shargaas,シャーガスの赤い牙
Shargaas's Sight,シャーガスの目
Jergal,ジャーガル
Jarrk,ジャーク
Shark Telepathy,シャーク・テレパシー
Jarkorl,ジャーコール
Shargon's Teeth,シャーゴンの歯（諸島）
Straits of Shargon,シャーゴン海峡
Shassa Tarr,シャーサ・タール
Shaazarak,シャーザラク
Jharthraxyn,ジャースラクシン
shard,シャード
Shardon,シャードン
Shar's Bane,シャーの災い
Germaine Vilroy,ジャーメイン・ヴィルロイ
Charlatan's die,ペテン師のさいころ
Jarlaxle Baenre,ジャーラックスル・ベインレ
Shaarat Kol,シャーラット・コル
Shaar,シャール
Siyar,シヤール
Jar,ジャール
Shaar ring,シャール・リング
Jahrukk,ジャールク
Shaaran,シャール語
Shaar Desolation,シャール荒野
Shaaran,シャール人
Sharn,シャーン
Sharn Inquisitive,シャーン・インクィジティヴ（紙）
Sharnshield,シャーンシールド
Sharn's Welcome,シャーンズ・ウェルカム
FALLING IN SHARN,シャーンでの落下
Crime in Sharn,シャーンにおける犯罪
Adventures in Sharn,シャーンにおける冒険
Narcotics in Sharn,シャーンにおける麻薬
DUNGEONS OF SHARN,シャーンのダンジョン
WARDS OF SHARN,シャーンの街層
THE SHAPE OF SHARN,シャーンの形状
Sharn Heights,シャーンの高所
Criminal Organizations in Sharn,シャーンの犯罪組織
The Streets of Sharn,シャーンの路上
GUIDE TO THE CITY,シャーン案内
Lower Sharn Street Events,シャーン下層：路上の事件
Sharn Opera House,シャーン歌劇場
SHARN COUNCILORS,シャーン市議会議員
Lord Mayor of Sharn,シャーン市長
ABOVE AND BELOW: IMPORTANT DISTRICTS,シャーン上空及び地下：主要街区
Upper Sharn Street Events,シャーン上層：路上の事件
Sharn Watch,シャーン都市警護団
THE SHARN WATCH,シャーン都市警護団
Sharn Watch Divisions,シャーン都市警護団の下部組織
Jai Wen,ジャイ・ウェン
Giant,ジャイアント
Giants: World Shakers,ジャイアント：世界を揺るがす者
Giant Ice Toad,ジャイアント・アイス・トード（巨大氷蛙）
Giant Owl,ジャイアント・アウル
Giant Eagle,ジャイアント・イーグル
Giant Insect,蟲類巨大化
Giant Vulture,ジャイアント・ヴァルチャー
Giant Weasel,ジャイアント・ウィーゼル
Giant Wolf Spider,ジャイアント・ウルフ・スパイダー
Giant Ape,ジャイアント・エイプ
Giant Elk,ジャイアント・エルク
Giant Octopus,ジャイアント・オクトパス
Giant Crab,ジャイアント・クラブ
Giant Crayfish,ジャイアント・クレイフィッシュ
Giant Crocodile,ジャイアント・クロコダイル
Giant Goat,ジャイアント・ゴート
Giant Constrictor Snake,ジャイアント・コンストリクター・スネーク
Giant Subterranean Lizard,ジャイアント・サブテレイニアン・リザード
Giant Sea Horse,ジャイアント・シー・ホース
Giant Shark,ジャイアント・シャーク
Giant Skeleton,ジャイアント・スケルトン
Giant Scorpion,ジャイアント・スコーピオン
Giant Strider,ジャイアント・ストライダー
Giant Snapping Turtle,ジャイアント・スナッピング・タートル
Giant Spider,ジャイアント・スパイダー
giant space hamster,ジャイアント・スペース・ハムスター（巨大宇宙鼠）
Giant Slayer,巨人殺しの斧・剣
Giant Centipede,ジャイアント・センチピード
Giant Zombie Constrictor Snake,ジャイアント・ゾンビ・コンストリクター・スネーク
Giant Toad,ジャイアント・トード
Giant Hyena,ジャイアント・ハイエナ
Giant Badger,ジャイアント・バジャー
Giant Bat,ジャイアント・バット
Giant Fire Beetle,ジャイアント・ファイアー・ビートル
Giant Four-Armed Gargoyle,ジャイアント・フォーアームド・ガーゴイル（4本腕の大きなガーゴイル）
Giant Fly,ジャイアント・フライ
Giant Frog,ジャイアント・フロッグ
Giant Boar,ジャイアント・ボア
Giant Poisonous Snake,ジャイアント・ポイズナス・スネーク
Giant Lightning Eel,ジャイアント・ライトニング・イール
Giant Rat,ジャイアント・ラット
Giant Lizard,ジャイアント・リザード
Giant Wasp,ジャイアント・ワスプ
Age of Giants,ジャイアントの時代
Giant's Bag,ジャイアントの袋
Giants' Bags,ジャイアントの袋
Giant's Bag Contents,ジャイアントの袋の中身
Shaena,シャイナ
Gynnie,ジャイニー
Shile Rauretilar,シャイル・ローレティラー
Shynzal Tlin'orzza,シャインザル・トリンオルツァ
Shynlue,シャインルー
Shava,シャヴァ
Shava,シャヴァ
Shavarran chert,シャヴァラスの角岩
Shavarran Birch,シャヴァラスの樺
Shavalant,シャヴァラント
Javelin,ジャヴェリン
Javelin of Lightning,稲妻の投げ槍
Shaumar,シャウマル
Shaeras Vadallia,シャエラス・ヴァダリア
Jhachalkhyn,ジャカルキン
Jaculi,ジャクーリ
Jaxi,ジャクシィ
Jagtar Uythrapp,ジャグタル・ウイスラップ
Shagambi,シャゴムビー
Jhazaal,ジャザール
Sha'sal Khou,シャサル・コウ
The Sha'sal Khou,シャサル・コウ
Jas,ジャス
Jastus Hallowquill,ジャスタス・ハロウクウィル
Justyn Rassk,ジャスティン・ラスク
jasper,ジャスパー
Jasper,ジャスパー
Jasmal,ジャスマル
Jasmine,ジャスミン
Shatter,破砕
Shadar-kai,シャダーカイ
Shattercrock Alley,シャタークロック通り
Shattershield,シャターシールド（家）
Shattershield,シャターシールド家
Shatterspike,槍砕き
Jackal,ジャッカル
Jackalwere,ジャッカルワー
Jack Ravenwild,ジャック・レイヴンワイルド
Shax,シャックス
Jassan,ジャッサーン
Jhasso,ジャッソー家
Shadow,シャドウ
The Shadow,シャドウ（影）
Shadow Assassin,シャドウ・アサシン
Shadow Dancer,シャドウ・ダンサー
Shadow Demon,シャドウ・デーモン
"Dragon, Shadow",シャドウ・ドラゴン（影竜）
Shadow Marches,シャドウ・マーチ
the Marches,シャドウ・マーチ
Shadow Mastiff,シャドウ・マスティフ
Shadow Mastiff Alpha,シャドウ・マスティフのボス
Shadovar,シャドヴァー
Shadukar,シャドゥカー
Shadowquick,シャドウクイック（影速家）
Shadowcrags,シャドウクラッグス
Shadowcloak,シャドウクローク
Shadowdark ale,シャドウダーク・エール
Shadowdusks,シャドウダスク家
shadowdusk hold,シャドウダスク砦
Shadow Pass,シャドウの道
Shadowfell,シャドウフェル
Shadowfell Wardrobe,シャドウフェルの衣装だんす
Shadowfell Despair,シャドウフェルの絶望
Shadowflow River,シャドウフロー川
SHADOWMOUNT FOREST,シャドウマウント・フォレスト
Shadowlock Keep,シャドウロック砦
Shanairla,シャナイルラ
Jannath,ジャナス家
Janara,ジャナラ
Jaharwon,ジャハーウォン
Jahaka Anchorage,ジャハカ投錨地
Jahaka Bay,ジャハカ湾
Jabaz,ジャバズ
Shabarra,シャバラ
Jabble,ジャブル
shovel,シャベル
Jama,ジャマ
jammer leech,ジャマー・リーチ（宇宙蛭）
Shamash,シャマシュ
Jamilah,ジャミラ
Shamil,シャミル
Shamukaar,シャムカール
Jamjar,ジャムジャー（ジャム瓶家）
Shamog,シャモグ
ladle,しゃもじ
Jarana,ジャラーナ
Sharavacion,シャラヴァシオン
Jarazk,ジャラズク
Jaratlab,ジャラトラブ
Jarana Hammerstone,ジャラナ・ハンマーストーン
Jarant,ジャラント
Jeryth Phaulkon,ジャリス・フォールコン
Sharindlar,シャリンドラー
Jal Paeridor,ジャル・ペリドール
Shalkashlah,シャルカシュラー
Jarsali,ジャルサリ
Julthoon Street,ジャルスーン大通り
Julbuck Alley,ジャルバック通り
Jarbokken Frostbeard,ジャルボッケン・フロストビアド
Shalryn,シャルリン
Shillelagh,棍棒
Sharess,シャレス
Jalester Silvermane,ジャレスター・シルヴァーメイン
Jelenn Urmbrusk,ジャレン・アームブラスク
Shalendra Floshin,シャレンドラ・フロシン
Jaro,ジャロ
Sharaun,シャローン
Shalok,シャロク
Shalok,シャロック
Jarot ir'Wynarn,ジャロット・イル＝ワイナーン
Shan,シャン
Shan Chien,シャン・チエン
Jank,ジャンク
Jhansczil,ジャンシル(家)
Shanzo,シャンゾ
Jander Sunstar,ジャンダー・サンスター
Jandar,ジャンダル
Shandie,シャンディ
Chanterella,シャンテレラ
Shando Street,シャンドゥ大通り
Shandri,シャンドリ
Jantroph,ジャントロフ
Shump,シャンプ
Jump,跳躍
Shambling Mound,シャンブリング・マウンド
Genre Emulation,ジャンル再現
Shui,シュイ
Juiblex,ジュイブレクス
Shoosuva,シュースヴァ
chute,シュート
Shoor Street,シュール大通り
Shugog,シュゴグ
Junior Gray Hand,ジュニア・グレイ・ハンド
Juma,ジュマ
Shummrath,シュムラス
Pit of Shummrath,シュムラスの穴
Shraal,シュラール
Shra'kt'lor,シュラクトロー
Shrakk,シュラック
Shrieker,シュリーカー
Slobberchops,ジュルジュル
Jun,ジュン
Jundeth,ジュンデス
Distant Shores,ショア輸入品店
Shou,ショウ語
Shou,ショウ人
Jo,ジョー
Shago,ショーゴ
Shautha,ショーサ
Jotens,ジョーテン山脈
Shortsword,ショートソード
Shortbow,ショートボウ
Joppa,ジョーパ
shawm,ショーム
Shawn Wood,ショーン・ウッド
Georgina,ジョジーナ
Shockerstomper,ショッカーストンパー
tankard,ジョッキ
Shocking Grasp,電撃の手
System Shock,ショック症状
Jot,ジョット
Shotgun,ショットガン（散弾銃）
SHOPPING CENTERS,ショッピング・センター
Jopalin's,ジョパリンの店
Jojo,ジョホ
Jobal,ジョボール
Shorah Hevrun,ショラー・ヘヴルン
Jhorash'tar,ジョラシュター
House Jorasco,ジョラスコ氏族
Jorunn Nighbury,ジョラン・ナイベリー
Jorlanna d'Cannith,ジョランナ・ド＝カニス
Joli,ジョリー
Shaleen Zoraz,ショリーン・ゾラーズ
Jorn,ジョルン
Joroth Brighthelm,ジョロス・ブライトヘルム
John Maddox Roberts,ジョン・マドックス・ロバーツ
Zhanthi,ジョンシー
Shilau M'wenye,シラウ・ムウェニェ
Jillian,ジリアン
Start of a Series,シリーズ第1話
Part of a Series,シリーズ第n話
Sirrion,シリオン
Gilligunn,ジリガン
Zilitsa Ilvarren,ジリッツァ・イルヴァレン
Silifrey,シリフレイ
syl-pasha,シル・パシャ
Silaqui,シルアクゥイ
THE SILVER WOOD,シルヴァー・ウッド
silver elf,シルヴァー・エルフ
Silver Greatsword,シルヴァー・グレートソード
silver cord,シルヴァー・コード
Sever Silver Cord,シルヴァー・コード切断
silver sword,シルヴァー・ソード
Silver Dragon,シルヴァー・ドラゴン
silver falcon,シルヴァー・ファルコン
Silver Flame,シルヴァー・フレイム
The Silver Flame,シルヴァー・フレイム
Flamic,シルヴァー・フレイムの
Voice of the Silver Flame,シルヴァー・フレイムの御声
Templars of the Silver Flame,シルヴァー・フレイム聖堂騎士団
Cathedral of the Silver Flame,シルヴァー・フレイム大聖堂
Silver Marches,シルヴァー・マーチ(連盟)
League of Silver Marches,シルヴァー・マーチ連盟
Silver Unicorn,シルヴァー・ユニコーン（号）
Silver Raven,銀のワタリガラス
Silvereyes,シルヴァーアイズ（銀眼家）
Silveraxe,シルヴァーアックス（銀の斧）
Silvercliff Castle,シルヴァークリフ城
Silvergate,シルヴァーゲート
Silverstone,シルヴァーストーン（銀の石）
Silverthread,シルヴァースレッド
Silvermist Theater,シルヴァーミスト劇場
Silver Lake,シルヴァー湖
Silvanus,シルヴァナス
Sylvania,シルヴァニア
Silvanus,シルウァヌス
Silvanesti,シルヴァネスティ
Sylvaranth,シルヴァランス
Silverymoon,シルヴァリームーン
Silvaeren,シルヴァリームーンの（市民）
Conclave of Silverymoon,シルヴァリームーン総合大学
Sylvia Featherstone,シルヴィア・フェザーストーン
Sylvira Savikas,シルヴィーラ・サヴィーカス
Sylvene,シルヴェネ
Sylune Silverhand,シルーネイ・シルヴァーハンド
Zilvriss,ジルヴリス
Silgre,シルガー
Sylgar,シルガー
Shilku,シルクー
Shilku Bay,シルクー湾
Sylkress Auvryndar,シルクレス・アーヴリンダー
zircon,ジルコン
Xyrxian Vandree,ジルジァン・ヴァンドリー
Zilspar,ジルスパー
Sildar Hallwinter,シルダー・ホールウィンター
Sildeyuir,シルデユア
Sylbaran,シルバラン
shilmaer,シルマイア
Shilmista Forest,シルミスタ森
Syrrak Argonrae,シルラック・アーゴンレイ
Syllin,シルリン
Zelane,ジレイン
Silaes Tairn,シレス・ターン
Xiloscient （Goldpetal）,ジロスキエント（金の花びら）
Xilonen,シロネン
Girondi tribe,ジロンディ部族
Shin,シン
Djinni,ジン
Jin,ジン
Zinzerena,ジンザーレイナ
Synthrin,シンスリン
Sinda Berries,シンダ・ベリー
Zindar,ジンダー
Lost City of Cynidicea,シンディセアの失われた都
Scintilmorn,シンティルモーン
Xindulus,ジンドゥルス
Syndra Silvane,シンドラ・シルヴェイン
Syndra's Fate,シンドラの運命
Sindri,シンドリー
Shindreer Argonrae,シンドリーア・アーゴンレイ
genie,ジンニー
Synnoria,シンノリア
Simbarch Council,シンバーク会議
The Simbul,シンバル
symbiont,シンビアント
Symbiotic Nature,シンビアントの性質
Sympony,シンフォニー
Cymbril's Walk,シンブリル通り
Symbol,シンボル
Symbol,印形
symbol,シンボルマーク
The Ssan (The Daughters),スアン（“娘たち”）
Sy'Tel'Quessir,スイ＝テル＝クェシア
Sweetjen's Spices,スイートジェンの香辛料屋
Zivilyn,ズィヴィリン
Xeo,ズィオ
Suisatal,スイサタル
Suithrasas,スイスラサス
Zilargo,ズィラーゴ
Zil,ズィラーゴの民
Su-monster,スゥ・モンスター
Xvart,ズヴァート
Xvart Warlock of Raxivort,ズヴァートのラクシヴォートのウォーロック
Svirfneblin,スヴァーフネブリン
Svirfneblin Magic,スヴァーフネブリンの魔法
Sweeping Attack,なぎ払い攻撃
Swift,スウィフト（快速）
Swift Quiver,速撃ち矢筒
Swiftstride,スウィフトストライド（快足）
Swiftwhistle,スウィフトホイッスル（速笛家）
Svilla,スヴィラ
S'venchen,スヴェンチェン
Swarm of Insects,スウォーム・オヴ・インセクツ
Swarm of Quippers,スウォーム・オヴ・クィッパーズ
Swarm of Bats,スウォーム・オヴ・バッツ
Swarm of Poisonous Snakes,スウォーム・オヴ・ポイズナス・スネークス
Swarm of Rats,スウォーム・オヴ・ラッツ
Swarm of Ravens,スウォーム・オヴ・レイヴンズ
Swoz,スウォズ
Sutha,スーサ
Suderham,ズーダラム
Thutai,ズーテイ
Sune,スーニー
Soubar,スーバー
Suhnae,スーフナイ
Sumi,スーミ
Thuel,ズール
Thuun,スーン
Scar,スカー（傷痕）
Scourge Aasimar,スカージ・アアシマール（断罪者）
Skaarzborroosh,スカーズボルーシュ
Scalm Shilvin,スカーム・シルヴィン
Skarn Zarphoul,スカーン・ザーフール
Scar River,スカー川
SKYWAY,スカイウェイ
Skyway Street Events,スカイウェイ：路上の事件
Skycoach,スカイコーチ
Skysedge Park,スカイズエッジ・パーク
Skyfall Peninsula,スカイフォール半島
Skywrite,空書
Skyraker Claws,スカイレイカー・クローズ
SKYRAKER FOREST,スカイレイカー・フォレスト
Scavenger,スカヴェンジャー
Scavenger,スカヴェンジャー号
Scout,スカウト（斥候）
Scout,スカウト（偵察）
Skadi,スカジ
Skadaurak,スカドーラック（山）
Skadric Salakar,スカドリック・サラカー
Ss'khanaja,スカナジャ
Skamos,スカモス
Scaladar,スカラダー
Scaladar Link,スカラダー・リンク
Scarab of Protection,守りのスカラベ
Skull Lord,スカル・ロード
Skulk,スカルク
skald,スカルド
Skullport,スカルポート
Skullreave,スカルリーヴ
skunk,スカンク
Skeemo Weirdbottle,スキーモ・ウィアードボトル
Skiggaret,スキッガレット
Skids,スキッズ（丸太のころ）
Skip Brickard,スキップ・ブリッカード
Scatter,散開
Skill Empowerment,技能強化
skiltgravr,スキルトグラヴル
Squiddly,スクウィッドリ
Squelcher,スクウェルチャー（言い負かす者）
Skoona,スクーナ
Slow to Trust,すぐには人を信じぬ者
Scribe's Pen,刻印のペン
Scrying,念視
Scrag,スクラグ
Skrac Blackskull,スクラク・ブラックスカル
Skrianna Shadowdusk,スクリアンナ・シャドウダスク
Screaming Eye,スクリーミング・アイ
Scroll of Protection,護りの巻物
Skrawldar Fane,スクロールダー・フェイン
Scarecrow,スケアクロウ
Scather,スケイザー（酷評する者）
scale mail,スケイル・メイル
Skella Ironeye,スケラ・アイアンアイ
Skerrit,スケリット
Skeletal Horror,スケルタル・ホラー
Skeleton,スケルトン
Skeleton key,スケルトン・キー
Skeleton Gate,スケルトン・ゲート
Skairn,スケルン
Scorching Ray,灼熱の光線
Scornubel,スコーヌーベル
Scorpion,スコーピオン
Scorpion Armor,サソリ鎧
Skorpin Crane,スコーピン・クレーン
Cap'n Scornblade,スコーンブレード船長
Scott Fitzgerald Gray,スコット・フィッツジェラルド・グレイ
Suthar Draal,スザー・ドラール
Ss'thar'tiss'ssun,スサーティスサン
Ssimalli,スシーマリ
Zushaxx,ズシャックス
Zzzxaaxthroth,ズズクスアークスロース
Soot Alley,すす通り
Ssethian Scourge,スセスの災い
Sstar,スター
Star Elf,スター・エルフ
star sapphire,スター・サファイア
Star Spawn,スター・スポーン
Star Spawn Grue,スター・スポーンのグルー
Star Spawn Hulk,スター・スポーンのでかぶつ
Star Spawn Larva Mage,スター・スポーンのラルヴァ・メイジ
Star Spawn Seer,スター・スポーンの見者
Star Spawn Mangler,スター・スポーンの切り裂き魔
star ruby,スター・ルビー
star rose quartz,スター・ローズ・クオーツ
Starwater Circle,スターウォーターの円環
Starwater River,スターウォーター川
STARKWOOD,スタークウッド
STARKCRAG ROCK,スタークラッグ・ロック
Stargazer Theater,スターゲイザー・シアター
Stirge,スタージ
Stirge,スタージ
Stardock,スタードック(星の船着き場)
Stardock rod,スタードック・ロッド
THE STARPEAKS,スターピークス
Starfallen,スターフォールン（堕ちた星）
Sturm Brightblade,スターム・ブライトブレード
Starmetal Hills,スターメタル丘陵
Sterngate,スターンゲート
Sternpost Street,スターンポスト大通り
stout,スタウト
Stoutale,スタウトエール（強い黒エール酒）
Stoutbridge,スタウトブリッジ（太橋家）
Stoutman,スタウトマン（益荒男￥￥ルビ：ますらお￥家）
Staggering Smite,よろめかせる一撃
Stagwick,スタッグウィック
staff,スタッフ
Staff of adornment,装飾機能付きの杖
Staff of Withering,衰弱のスタッフ
Staff of the Woodlands,森のスタッフ
Staff of the Python,大蛇のスタッフ
Staff of the Forgotten One,忘れ去られしものの杖
